SETTLEMENT_DATE,CUSIP,SYMBOL,QUANTITY_FAILS,DESCRIPTION,PRICE
20160226,36467W109,GME,26.0,GAMESTOP CORP (HLDG CO) CL A,29.96
20160226,464287507,IJH,550.0,ISHARES CORE S&P MID-CAP ETF,133.29
20160226,464287622,IWB,175.0,ISHARES RUSSELL 1000 INDEX ETF,108.06
20160226,464287655,IWM,475552.0,ISHARES RUSSELL 2000 ETF,102.50
20160226,78464A714,XRT,114804.0,SPDR SERIES TR SPDR S&P RETAIL,43.25
20160226,808524763,FNDA,40596.0,SCHWAB FUNDAMENTAL U S SMALL C,26.42
20160226,922908652,VXF,1.0,VANGUARD EXTENDED MARKET ETF,76.50
20160226,922908769,VTI,9239.0,VANGUARD TOTAL STOCK MARKET ET,99.19
20160229,36467W109,GME,910.0,GAMESTOP CORP (HLDG CO) CL A,30.54
20160229,464287507,IJH,560.0,ISHARES CORE S&P MID-CAP ETF,133.95
20160229,464287622,IWB,746.0,ISHARES RUSSELL 1000 INDEX ETF,108.02
20160229,464287655,IWM,207245.0,ISHARES RUSSELL 2000 ETF,103.16
20160229,78464A714,XRT,154644.0,SPDR SERIES TR SPDR S&P RETAIL,43.35
20160229,808524763,FNDA,83650.0,SCHWAB FUNDAMENTAL U S SMALL C,26.51
20160229,922908769,VTI,481.0,VANGUARD TOTAL STOCK MARKET ET,99.11
20160301,36467W109,GME,12887.0,GAMESTOP CORP (HLDG CO) CL A,30.82
20160301,464287622,IWB,28.0,ISHARES RUSSELL 1000 INDEX ETF,107.15
20160301,464287655,IWM,400.0,ISHARES RUSSELL 2000 ETF,102.75
20160301,78464A714,XRT,93083.0,SPDR SERIES TR SPDR S&P RETAIL,43.32
20160301,808524763,FNDA,65709.0,SCHWAB FUNDAMENTAL U S SMALL C,26.47
